"filename", "language", "Python", "pip requirements", "JSON", "JavaScript", "CSS", "XML", "Django HTML", "Markdown", "Shell Script", "comment", "blank", "total"
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\js\vendor\select2\i18n\vi.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\js\vendor\select2\i18n\zh-CN.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\js\vendor\select2\i18n\zh-TW.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\js\vendor\select2\select2.full.js", "JavaScript", 0, 0, 0, 5102, 0, 0, 0, 0, 0, 384, 1335, 6821
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\js\vendor\select2\select2.full.min.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 2
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\js\vendor\xregexp\xregexp.js", "JavaScript", 0, 0, 0, 3817, 0, 0, 0, 0, 0, 1303, 1007, 6127
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\js\vendor\xregexp\xregexp.min.js", "JavaScript", 0, 0, 0, 4, 0, 0, 0, 0, 0, 13, 1, 18
"e:\Django\Amizone-Backend\staticfiles_build\static\drf-yasg\immutable.js", "JavaScript", 0, 0, 0, 3970, 0, 0, 0, 0, 0, 222, 786, 4978
"e:\Django\Amizone-Backend\staticfiles_build\static\drf-yasg\immutable.min.js", "JavaScript", 0, 0, 0, 28, 0, 0, 0, 0, 0, 6, 0, 34
"e:\Django\Amizone-Backend\staticfiles_build\static\drf-yasg\insQ.js", "JavaScript", 0, 0, 0, 136, 0, 0, 0, 0, 0, 5, 23, 164
"e:\Django\Amizone-Backend\staticfiles_build\static\drf-yasg\insQ.min.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 3, 0, 4
"e:\Django\Amizone-Backend\staticfiles_build\static\drf-yasg\redoc-init.js", "JavaScript", 0, 0, 0, 54, 0, 0, 0, 0, 0, 8, 12, 74
"e:\Django\Amizone-Backend\staticfiles_build\static\drf-yasg\redoc-old\redoc.min.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 7, 1, 9
"e:\Django\Amizone-Backend\staticfiles_build\static\drf-yasg\redoc\redoc.min.js", "JavaScript", 0, 0, 0, 1625, 0, 0, 0, 0, 0, 10, 171, 1806
"e:\Django\Amizone-Backend\staticfiles_build\static\drf-yasg\style.css", "CSS", 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 14, 74
"e:\Django\Amizone-Backend\staticfiles_build\static\drf-yasg\swagger-ui-dist\absolute-path.js", "JavaScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 6, 2, 15
"e:\Django\Amizone-Backend\staticfiles_build\static\drf-yasg\swagger-ui-dist\index.css", "CSS", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 3, 17
"e:\Django\Amizone-Backend\staticfiles_build\static\drf-yasg\swagger-ui-dist\index.js", "JavaScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 9, 2, 18
"e:\Django\Amizone-Backend\staticfiles_build\static\drf-yasg\swagger-ui-dist\oauth2-redirect.html", "Django HTML", 0, 0, 0, 0, 0, 0, 72, 0, 0, 0, 8, 80
"e:\Django\Amizone-Backend\staticfiles_build\static\drf-yasg\swagger-ui-dist\swagger-initializer.js", "JavaScript", 0, 0, 0, 15, 0, 0, 0, 0, 0, 3, 3, 21
"e:\Django\Amizone-Backend\staticfiles_build\static\drf-yasg\swagger-ui-dist\swagger-ui-bundle.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 3
"e:\Django\Amizone-Backend\staticfiles_build\static\drf-yasg\swagger-ui-dist\swagger-ui-es-bundle-core.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 3
"e:\Django\Amizone-Backend\staticfiles_build\static\drf-yasg\swagger-ui-dist\swagger-ui-es-bundle.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 3
"e:\Django\Amizone-Backend\staticfiles_build\static\drf-yasg\swagger-ui-dist\swagger-ui-standalone-preset.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 3
"e:\Django\Amizone-Backend\staticfiles_build\static\drf-yasg\swagger-ui-dist\swagger-ui.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 3
"e:\Django\Amizone-Backend\staticfiles_build\static\drf-yasg\swagger-ui-init.js", "JavaScript", 0, 0, 0, 309, 0, 0, 0, 0, 0, 55, 43, 407
"e:\Django\Amizone-Backend\staticfiles_build\static\rest_framework\css\bootstrap-theme.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 5, 0, 6
"e:\Django\Amizone-Backend\staticfiles_build\static\rest_framework\css\bootstrap-tweaks.css", "CSS", 0, 0, 0, 0, 177, 0, 0, 0, 0, 15, 46, 238
"e:\Django\Amizone-Backend\staticfiles_build\static\rest_framework\css\bootstrap.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 5, 0, 6
"e:\Django\Amizone-Backend\staticfiles_build\static\rest_framework\css\default.css", "CSS", 0, 0, 0, 0, 62, 0, 0, 0, 0, 3, 18, 83
"e:\Django\Amizone-Backend\staticfiles_build\static\rest_framework\css\font-awesome-4.0.3.css", "CSS", 0, 0, 0, 0, 1329, 0, 0, 0, 0, 9, 1, 1339
"e:\Django\Amizone-Backend\staticfiles_build\static\rest_framework\css\prettify.css", "CSS", 0, 0, 0, 0, 27, 0, 0, 0, 0, 1, 2, 30
"e:\Django\Amizone-Backend\staticfiles_build\static\rest_framework\docs\css\base.css", "CSS", 0, 0, 0, 0, 291, 0, 0, 0, 0, 4, 65, 360
